Titel;Referent;Zielgruppe;Pflichtraum;Pflichtslot;Thema
Vortrag Arbeitsagentur für 8.1;6;"8.1";4;2;Studien- und Berufsberatung für Klasse 8.1
Vortrag Arbeitsagentur für 8.3;6;"8.3";8;1;Studien- und Berufsberatung für Klasse 8.3
Vortrag Arbeitsagentur für 8.4;6;"8.4";11;3;Studien- und Berufsberatung für Klasse 8.4
Vortrag Arbeitsagentur für 9.1;6;"9.1";7;5;Studien- und Berufsberatung für Klasse 9.1
Vortrag Arbeitsagentur für 9.2;6;"9.2";2;10;Studien- und Berufsberatung für Klasse 9.2
Vorbereitung der Präsentation 9.3 (1/2);3;"9.3";3;5;Vorbereitung der Präsentation (Teil 1)
Vorbereitung der Präsentation 9.3 (2/2);3;"9.3";3;6;Vorbereitung der Präsentation (Teil 2)
Vorbereitung der Präsentation 9.4 (1/2);5;"9.4";10;5;Vorbereitung der Präsentation (Teil 1)
Vorbereitung der Präsentation 9.4 (2/2);5;"9.4";10;6;Vorbereitung der Präsentation (Teil 2)
Vorbereitung Abschluss 10.3 (1/2);4;"10.3";6;1;Vorbereitung Abschluss (Teil 1)
Vorbereitung Abschluss 10.3 (2/2);4;"10.3";6;2;Vorbereitung Abschluss (Teil 2)
Vorbereitung Abschluss 10.4 (1/2);1;"10.4";5;1;Vorbereitung Abschluss (Teil 1)
Vorbereitung Abschluss 10.4 (2/2);1;"10.4";5;2;Vorbereitung Abschluss (Teil 2)
Vorbereitung Abschluss 10.5 (1/2);2;"10.5";9;1;Vorbereitung Abschluss (Teil 1)
Vorbereitung Abschluss 10.5 (2/2);2;"10.5";9;2;Vorbereitung Abschluss (Teil 2)
Vortrag Arbeitsagentur für 10.3;6;"10.3";6;7;Studien- und Berufsberatung für Klasse 10.3
Vortrag Arbeitsagentur für 10.4;6;"10.4";5;8;Studien- und Berufsberatung für Klasse 10.4
Vortrag Arbeitsagentur für 10.5;6;"10.5";9;9;Studien- und Berufsberatung für Klasse 10.5
