name,kapazitaet,etage,verfuegbare_slots
B-002,35,EG,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
A-0.12,27,EG,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]"
A-0.13,27,EG,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 12]"
A-1.01,25,1.OG,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
A-1.04,27,1.OG,"[3, 4, 5, 6, 7, 9, 10, 11, 12]"
A-1.07,27,1.OG,"[3, 4, 5, 6, 8, 9, 10, 11, 12]"
A-2.01,25,2.OG,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12]"
A-2.03,27,2.OG,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
A-2.04,27,2.OG,"[3, 4, 5, 6, 7, 8, 10, 11, 12]"
A-2.06,27,2.OG,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 12]"
V-0.05,27,EG,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
A-2.07,25,2.OG,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
