Titel;Referent;Wahlslots;Thema;wiederholbar;maxWiederholungen
Analysieren, Programmieren, Elektrisieren;7;"[1,2,3,4,5,6,7,8,9,10,11,12]";Elektroniker für Betriebstechnik, Fachinformatiker Anwendungsentwicklung, Fachinformatiker Systemintegration
Organisieren, Strukturieren, Kommunizieren;8;"[1,2,3,4,5,6,7,8,9,10,11,12]";Industriekaufleute, Fachkraft für Lagerlogistik
Weltweit für Durchblick sorgen;9;"[1,2,3,4,5,6,7,8,9,10,11,12]";Industriemechaniker, Fachkraft Metalltechnik, Werkzeugmechaniker, Technischer Produktdesigner, Zerspanungsmechaniker
Kabelverlegesysteme und Befestigungsmaterial;10;"[1,2,3,4,5,6,7,8,9,10,11,12]";Zerspanungsmechaniker
Maschinen für den Straßenbau;11;"[7,8,9,10,11,12]";"Industriemechaniker, Konstruktionsmechaniker, Elektroniker/Industrieelektriker, Fachkraft f. Metalltechnik, Fahrzeuglackierer, Technischer Produktdesigner, Zerspanungsmechaniker, Fachkraft f. Lagerlogistik, Fachinformatiker, Dualer Studiengänge Industriemechaniker/-in (Bachelor of Engineering/Maschinenbau) und Elektroniker/-in (Bachelor of Engineering/Elektrotechnik)"
Bring die Energiewende mit uns voran!;12;"[3,4,5,10,11]";"Elektroniker (m/w/d) für Maschinen und Antriebstechnik, Fachkraft (m/w/d) für Lagerlogistik"
Verwaltung mit Zukunft – dein Platz im öffentlichen Dienst;13;"[1,2,3,4,5,6]";Verwaltungsfachangestellte/r, Studium für den mittleren Dienst
Werde zum Schreibtischdetektiv...;14;"[1,2,3,4,5,6,7,8,9,10,11,12]";Finanzwirt, Diplom Finanzwirt
Grundstein für deine Zukunft;15;"[1,2,3,4,5,6]";Industriekaufmann (m/w/d), Feinwerkmechaniker (m/w/d) Maschinenbau
Schwamm drüber!;16;"[7,8,9,10,11,12]";Maschinen- und Anlagenführer, Kunststoff- und Kautschuktechnologe
Pflegehände, die die Zukunft tragen;17;"[1,2,3,4,5,6,7,8,9,10,11,12]";"Pflegefachmann bzw. Pflegefachfrau, Medizinische Fachangestellte, Operationstechnische Assistenten, Medizinische Technologie für Radiologie, Medizinische Technologie für Laboratoriumsanalytik, Pharmazeutisch technische / kaufmännische Angestellte"
Geh' deine ersten Karriereschritte mit uns!;18;"[1,2,3,4,5,6,7,8,9,10,11,12]";Elektroniker für Automatisierungstechnik, Industriemechaniker
Handel 2.0: Zwischen Kundenkontakt und digitaler Logistik;19;"[1,2,3,4,5,6,7,8,9,10,11,12]";"Groß- und Außenhandels Management, Mechaniker für Landmaschinen, Zweiradmechatroniker, Einzelhandelskaufmann(-frau)"
Traumberuf Polizei?;20;"[1,2,3,4,5,6,7,8,9,10,11,12]";Polizeidienst
Deine Karriere bei der Bundeswehr;21;"[1,2,3,4,5,6,7,8,9,10,11,12]";Ausbildungs- und Studienmöglichkeiten bei der Bundeswehr
Berufe mit Zukunft in der Gesundheitsbranche für Medizin-, Sport- und Bewegungsbegeisterte junge Menschen;22;"[1,2,3,4,5,6]";Physiotherapeuten und Ergotherapeuten
